i, j, E, error
2, 31, -7.06494, 1.09072e-09
2, 32, -7.06494, 1.09072e-09
2, 33, -7.06494, 1.09072e-09
2, 34, -7.06494, 1.09072e-09
2, 35, -7.06494, 1.09072e-09
2, 36, -7.06494, 1.09072e-09
2, 37, -7.06494, 1.09072e-09
2, 38, -7.06494, 1.09072e-09
2, 39, -7.06494, 1.09072e-09
2, 40, -7.06494, 1.09072e-09
2, 41, -7.06494, 1.09072e-09
2, 42, -7.06494, 1.09072e-09
2, 43, -7.06494, 1.09072e-09
2, 44, -7.06494, 1.09072e-09
2, 45, -7.06494, 1.09072e-09
2, 46, -7.06494, 1.09072e-09
2, 47, -7.06494, 1.09072e-09
2, 48, -7.06494, 1.09072e-09
2, 49, -7.06494, 1.09072e-09
2, 50, -7.06494, 1.09072e-09
2, 51, -7.06494, 1.09072e-09
2, 52, -7.06494, 1.09072e-09
2, 53, -7.06494, 1.09072e-09
2, 54, -7.06494, 1.09072e-09
2, 55, -7.06494, 1.09072e-09
2, 56, -7.06494, 1.09072e-09
2, 57, -7.06494, 1.09072e-09
2, 58, -7.06494, 1.09072e-09
2, 59, -7.06494, 1.09072e-09
2, 60, -7.06494, 1.09072e-09
2, 61, -7.06494, 1.09072e-09
2, 62, -7.06494, 1.09072e-09
2, 63, -7.06494, 1.09072e-09
3, 0, -8.23438, 1.10841e-09
3, 1, -8.23438, 1.10841e-09
3, 2, -8.23438, 1.10841e-09
3, 3, -8.23438, 1.10841e-09
3, 4, -8.23438, 1.10841e-09
3, 5, -8.23438, 1.10841e-09
3, 6, -8.23438, 1.10841e-09
3, 7, -8.23438, 1.10841e-09
3, 8, -8.23438, 1.10841e-09
3, 9, -8.23438, 1.10841e-09
3, 10, -8.23438, 1.10841e-09
3, 11, -8.23438, 1.10841e-09
3, 12, -8.23438, 1.10841e-09
3, 13, -8.23438, 1.10841e-09
3, 14, -8.23438, 1.10841e-09
3, 15, -8.23438, 1.10841e-09
3, 16, -8.23438, 1.10841e-09
3, 17, -8.23438, 1.10841e-09
3, 18, -8.23438, 1.10841e-09
3, 19, -8.23438, 1.10841e-09
3, 20, -8.23438, 1.10841e-09
3, 21, -8.23438, 1.10841e-09
3, 22, -8.23438, 1.10841e-09
3, 23, -8.23438, 1.10841e-09
3, 24, -8.23438, 1.10841e-09
3, 25, -8.23438, 1.10841e-09
3, 26, -8.23438, 1.10841e-09
3, 27, -8.23438, 1.10841e-09
3, 28, -8.23438, 1.10841e-09
3, 29, -8.23438, 1.10841e-09
3, 30, -8.23438, 1.10841e-09
3, 31, -8.23438, 1.10841e-09
3, 32, -8.23438, 1.10841e-09
3, 33, -8.23438, 1.10841e-09
3, 34, -8.23438, 1.10841e-09
3, 35, -8.23438, 1.10841e-09
3, 36, -8.23438, 1.10841e-09
3, 37, -8.23438, 1.10841e-09
3, 38, -8.23438, 1.10841e-09
3, 39, -8.23438, 1.10841e-09
3, 40, -8.23438, 1.10841e-09
3, 41, -8.23438, 1.10841e-09
3, 42, -8.23438, 1.10841e-09
3, 43, -8.23438, 1.10841e-09
3, 44, -8.23438, 1.10841e-09
3, 45, -8.23438, 1.10841e-09
3, 46, -8.23438, 1.10841e-09
3, 47, -8.23438, 1.10841e-09
3, 48, -8.23438, 1.10841e-09
3, 49, -8.23438, 1.10841e-09
3, 50, -8.23438, 1.10841e-09
3, 51, -8.23438, 1.10841e-09
3, 52, -8.23438, 1.10841e-09
3, 53, -8.23438, 1.10841e-09
3, 54, -8.23438, 1.10841e-09
3, 55, -8.23438, 1.10841e-09
3, 56, -8.23438, 1.10841e-09
3, 57, -8.23438, 1.10841e-09
3, 58, -8.23438, 1.10841e-09
3, 59, -8.23438, 1.10841e-09
3, 60, -8.23438, 1.10841e-09
3, 61, -8.23438, 1.10841e-09
3, 62, -8.23438, 1.10841e-09
3, 63, -8.23438, 1.10841e-09
4, 0, -9.19322, 1.12669e-09
4, 1, -9.19322, 1.12669e-09
4, 2, -9.19322, 1.12669e-09
4, 3, -9.19322, 1.12669e-09
4, 4, -9.19322, 1.12669e-09
4, 5, -9.19322, 1.12669e-09
4, 6, -9.19322, 1.12669e-09
4, 7, -9.19322, 1.12669e-09
4, 8, -9.19322, 1.12669e-09
4, 9, -9.19322, 1.12669e-09
4, 10, -9.19322, 1.12669e-09
4, 11, -9.19322, 1.12669e-09
4, 12, -9.19322, 1.12669e-09
4, 13, -9.19322, 1.12669e-09
4, 14, -9.19322, 1.12669e-09
4, 15, -9.19322, 1.12669e-09
4, 16, -9.19322, 1.12669e-09
4, 17, -9.19322, 1.12669e-09
4, 18, -9.19322, 1.12669e-09
4, 19, -9.19322, 1.12669e-09
4, 20, -9.19322, 1.12669e-09
4, 21, -9.19322, 1.12669e-09
4, 22, -9.19322, 1.12669e-09
4, 23, -9.19322, 1.12669e-09
4, 24, -9.19322, 1.12669e-09
4, 25, -9.19322, 1.12669e-09
4, 26, -9.19322, 1.12669e-09
4, 27, -9.19322, 1.12669e-09
4, 28, -9.19322, 1.12669e-09
4, 29, -9.19322, 1.12669e-09
4, 30, -9.19322, 1.12669e-09
4, 31, -9.19322, 1.12669e-09
4, 32, -9.19322, 1.12669e-09
4, 33, -9.19322, 1.12669e-09
4, 34, -9.19322, 1.12669e-09
4, 35, -9.19322, 1.12669e-09
4, 36, -9.19322, 1.12669e-09
4, 37, -9.19322, 1.12669e-09
4, 38, -9.19322, 1.12669e-09
4, 39, -9.19322, 1.12669e-09
4, 40, -9.19322, 1.12669e-09
4, 41, -9.19322, 1.12669e-09
4, 42, -9.19322, 1.12669e-09
4, 43, -9.19322, 1.12669e-09
4, 44, -9.19322, 1.12669e-09
4, 45, -9.19322, 1.12669e-09
4, 46, -9.19322, 1.12669e-09
4, 47, -9.19322, 1.12669e-09
4, 48, -9.19322, 1.12669e-09
4, 49, -9.19322, 1.12669e-09
4, 50, -9.19322, 1.12669e-09
4, 51, -9.19322, 1.12669e-09
4, 52, -9.19322, 1.12669e-09
4, 53, -9.19322, 1.12669e-09
4, 54, -9.19322, 1.12669e-09
4, 55, -9.19322, 1.12669e-09
4, 56, -9.19322, 1.12669e-09
4, 57, -9.19322, 1.12669e-09
4, 58, -9.19322, 1.12669e-09
4, 59, -9.19322, 1.12669e-09
4, 60, -9.19322, 1.12669e-09
4, 61, -9.19322, 1.12669e-09
4, 62, -9.19322, 1.12669e-09
4, 63, -9.19322, 1.12669e-09
5, 0, -9.98384, 1.14558e-09
5, 1, -9.98384, 1.14558e-09
5, 2, -9.98384, 1.14558e-09
5, 3, -9.98384, 1.14558e-09
5, 4, -9.98384, 1.14558e-09
5, 5, -9.98384, 1.14558e-09
5, 6, -9.98384, 1.14558e-09
5, 7, -9.98384, 1.14558e-09
5, 8, -9.98384, 1.14558e-09
5, 9, -9.98384, 1.14558e-09
5, 10, -9.98384, 1.14558e-09
5, 11, -9.98384, 1.14558e-09
5, 12, -9.98384, 1.14558e-09
5, 13, -9.98384, 1.14558e-09
5, 14, -9.98384, 1.14558e-09
5, 15, -9.98384, 1.14558e-09
5, 16, -9.98384, 1.14558e-09
5, 17, -9.98384, 1.14558e-09
5, 18, -9.98384, 1.14558e-09
5, 19, -9.98384, 1.14558e-09
5, 20, -9.98384, 1.14558e-09
5, 21, -9.98384, 1.14558e-09
5, 22, -9.98384, 1.14558e-09
5, 23, -9.98384, 1.14558e-09
5, 24, -9.98384, 1.14558e-09
5, 25, -9.98384, 1.14558e-09
5, 26, -9.98384, 1.14558e-09
5, 27, -9.98384, 1.14558e-09
5, 28, -9.98384, 1.14558e-09
5, 29, -9.98384, 1.14558e-09
5, 30, -9.98384, 1.14558e-09
5, 31, -9.98384, 1.14558e-09
5, 32, -9.98384, 1.14558e-09
5, 33, -9.98384, 1.14558e-09
5, 34, -9.98384, 1.14558e-09
5, 35, -9.98384, 1.14558e-09
5, 36, -9.98384, 1.14558e-09
5, 37, -9.98384, 1.14558e-09
5, 38, -9.98384, 1.14558e-09
5, 39, -9.98384, 1.14558e-09
5, 40, -9.98384, 1.14558e-09
5, 41, -9.98384, 1.14558e-09
5, 42, -9.98384, 1.14558e-09
5, 43, -9.98384, 1.14558e-09
5, 44, -9.98384, 1.14558e-09
5, 45, -9.98384, 1.14558e-09
5, 46, -9.98384, 1.14558e-09
