Alternative method
GaussianWavefunction wavefn(1, 0.01, 256);

Scale || Time || Error || Value
0.1 || 193757 ms || 2.78541e-05 eV || 1.01486e-07 eV
0.2 || 1.70308 ms || 0 eV || 5.87085e-07 eV
0.3 || 1.69807 ms || 0 eV || 8.80628e-07 eV
0.4 || 1.69381 ms || 0 eV || 1.17417e-06 eV
0.5 || 1.70003 ms || 0 eV || 1.46771e-06 eV
0.6 || 1.69813 ms || 0 eV || 1.76126e-06 eV
0.7 || 1.69398 ms || 0 eV || 2.0548e-06 eV
0.8 || 1.75855 ms || 0 eV || 2.34834e-06 eV
0.9 || 1.69693 ms || 0 eV || 2.64188e-06 eV
